n_notes,total_duration,note_density,n_instruments,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,dur_mean,dur_std,vel_mean,vel_std,tempo,polyphony_mean,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,filename,composer
180,29.999991999999995,6.000001600000427,4,62.91111111111111,8.130388052026989,43,76,33,0.6212119555555554,0.2961214486826603,96.0,0.0,143.0000381333435,3.899641577060932,0.1388888888888889,0.022222222222222223,0.1111111111111111,0.011111111111111112,0.15555555555555556,0.06666666666666667,0.016666666666666666,0.09444444444444444,0.044444444444444446,0.20555555555555555,0.022222222222222223,0.1111111111111111,042100b_.mid,bach
171,25.0,6.84,4,58.333333333333336,7.713434774689666,41,72,31,0.5263157894736842,0.2505788351321588,96.0,0.0,189.17647058823528,3.9867256637168142,0.2046783625730994,0.005847953216374269,0.1111111111111111,0.011695906432748537,0.1111111111111111,0.18128654970760233,0.005847953216374269,0.1286549707602339,0.0,0.11695906432748537,0.0935672514619883,0.029239766081871343,043100b_.mid,bach
181,22.5,8.044444444444444,4,58.790055248618785,8.65483676590503,41,72,31,0.4558011049723757,0.21281058018212595,96.0,0.0,177.50943396226418,3.971014492753623,0.1270718232044199,0.0,0.19889502762430938,0.03314917127071823,0.016574585635359115,0.06629834254143646,0.049723756906077346,0.19889502762430938,0.0,0.13259668508287292,0.1712707182320442,0.0055248618784530384,027400b_.mid,bach
977,166.0,5.885542168674699,2,67.4257932446264,13.36262489652063,32,87,55,0.31774564994882293,0.2173943380483219,100.0,0.0,160.26490066225156,1.879081015719468,0.1473899692937564,0.02968270214943705,0.1105424769703173,0.10951893551688843,0.027635619242579325,0.10747185261003071,0.03991811668372569,0.16581371545547594,0.08802456499488229,0.0368474923234391,0.09211873080859775,0.04503582395087001,Bwv0997 Partita for Lute 1mov.mid,bach
5450,220.3285570000001,24.735785838237923,8,64.80990825688073,10.371158534579507,36,86,50,0.28175165727370044,0.19055209228102762,76.0,0.0,168.04205461298417,4.449612403100775,0.1306422018348624,0.012110091743119266,0.1453211009174312,0.01871559633027523,0.1258715596330275,0.11192660550458716,0.013211009174311927,0.16990825688073394,0.02055045871559633,0.12330275229357798,0.03926605504587156,0.0891743119266055,Bwv1066 Orchestral Suite n1 6mov.mid,bach
142,29.333304,4.840913931823023,4,61.32394366197183,8.071467129997425,38,74,36,0.713614309859155,0.44200655645722586,96.0,0.0,153.00015300015298,3.9173228346456694,0.09154929577464789,0.007042253521126761,0.2535211267605634,0.007042253521126761,0.07746478873239436,0.0,0.09859154929577464,0.22535211267605634,0.0,0.09154929577464789,0.0,0.14788732394366197,026400b_.mid,bach
188,20.0,9.4,5,60.3936170212766,8.659293476543093,40,78,38,0.5319148936170213,0.2970054557785475,96.0,0.0,170.66666666666666,4.125,0.0,0.10106382978723404,0.10638297872340426,0.015957446808510637,0.11702127659574468,0.015957446808510637,0.18617021276595744,0.10106382978723404,0.026595744680851064,0.06914893617021277,0.0425531914893617,0.21808510638297873,006206b_.mid,bach
1760,328.0997393750001,5.364222487200503,4,61.98579545454545,9.611742489550679,37,84,47,0.5014062257765156,0.5540629517434438,64.0,0.0,184.25816278714916,2.798469387755102,0.12954545454545455,0.13068181818181818,0.026136363636363635,0.1278409090909091,0.022727272727272728,0.12556818181818183,0.0659090909090909,0.053409090909090906,0.09488636363636363,0.04431818181818182,0.15454545454545454,0.024431818181818183,Wtcii22b.mid,bach
3157,412.77038899999997,7.648319947679194,3,65.09597719353818,8.985750852051986,36,84,48,0.3312674000633511,0.48327783803798924,94.22679759265125,3.158549891394393,214.46493660223797,2.5972670807453415,0.11466582198289516,0.025340513145391194,0.15901171998732974,0.08235666772252138,0.04687994931897371,0.08045612923661705,0.04783021856192588,0.15172632245802978,0.018371872030408617,0.12385175799809946,0.11910041178333862,0.030408615774469433,Bwv0535 Prelude and Fugue.mid,bach
1494,114.9,13.002610966057441,4,64.55020080321285,10.131192139948068,38,84,46,0.1535140562248996,0.07044537605295206,100.0,0.0,200.00000000000014,2.0982456140350876,0.10174029451137885,0.03346720214190094,0.13386880856760375,0.009370816599732263,0.13654618473895583,0.0107095046854083,0.12182061579651941,0.15127175368139223,0.004016064257028112,0.14859437751004015,0.0,0.14859437751004015,Variation 23.mid,bach
409,50.0,8.18,5,58.256723716381416,7.782502474602121,38,74,36,0.5883251833740831,0.3720938314162472,96.0,0.0,147.69230769230768,3.9273858921161824,0.15647921760391198,0.007334963325183374,0.1466992665036675,0.007334963325183374,0.1687041564792176,0.06601466992665037,0.03178484107579462,0.13202933985330073,0.039119804400977995,0.16136919315403422,0.0,0.08312958435207823,007206b_.mid,bach
786,102.39203768333333,7.676378142125202,2,64.2824427480916,11.392449717792129,34,84,50,0.2659588981764208,0.2050599350642026,100.0,0.0,211.1540573079034,2.1248751248751248,0.09669211195928754,0.010178117048346057,0.13740458015267176,0.17302798982188294,0.0,0.15394402035623408,0.002544529262086514,0.15903307888040713,0.08142493638676845,0.020356234096692113,0.15776081424936386,0.007633587786259542,16 Marche.mid,bach
207,30.0,6.9,4,63.227053140096615,8.412185922359612,45,79,34,0.5434782608695652,0.22353193259516424,96.0,0.0,144.0,3.978723404255319,0.12077294685990338,0.0,0.13526570048309178,0.12077294685990338,0.014492753623188406,0.18840579710144928,0.014492753623188406,0.13526570048309178,0.01932367149758454,0.08695652173913043,0.15458937198067632,0.00966183574879227,024432b_.mid,bach
2046,296.77500000000003,6.894111700783421,5,67.76246334310851,11.218233246696983,36,89,53,0.4752016129032345,0.43802644870235263,100.0,0.0,161.6326530612245,3.2063157894736842,0.14076246334310852,0.011241446725317693,0.15053763440860216,0.01466275659824047,0.12463343108504399,0.07966764418377321,0.03812316715542522,0.1348973607038123,0.02785923753665689,0.13880742913000976,0.03225806451612903,0.10654936461388075,Bwv1044 Flute Violin and Harpsichord Concerto 2mov.mid,bach
1627,217.173609,7.491702180074744,5,63.078672403196066,11.81006024569736,36,85,49,0.442932492317148,0.43257049728939356,96.0,0.0,182.08358825035688,3.1764163979732842,0.07744314689612784,0.04179471419791026,0.08666256914566688,0.04240934234787953,0.17148125384142593,0.024585125998770743,0.11432083589428396,0.10018438844499078,0.0313460356484327,0.12661339889366932,0.01782421634910879,0.16533497234173325,013703b_.mid,bach
186,27.5,6.763636363636364,4,61.70967741935484,8.029623439745713,43,74,31,0.5376344086021505,0.2118268482859474,96.0,0.0,164.57142857142858,3.9402390438247012,0.11290322580645161,0.016129032258064516,0.1989247311827957,0.053763440860215055,0.016129032258064516,0.06989247311827956,0.04838709677419355,0.23118279569892472,0.016129032258064516,0.0967741935483871,0.11290322580645161,0.026881720430107527,004705b_.mid,bach
285,42.5,6.705882352941177,4,64.07368421052631,8.638845892618837,43,81,38,0.5964912280701754,0.2673707917367386,96.0,0.0,148.36363636363637,3.908235294117647,0.21403508771929824,0.007017543859649123,0.13333333333333333,0.0,0.1368421052631579,0.06315789473684211,0.021052631578947368,0.21754385964912282,0.007017543859649123,0.09824561403508772,0.014035087719298246,0.08771929824561403,Bwv025.6.mid,bach
1050,120.2500962,8.731801746367335,2,63.70857142857143,12.281182774478038,33,83,50,0.25119398402380955,0.2572257907644071,107.0,0.0,281.6848244860269,2.3372407574391345,0.0,0.14476190476190476,0.12,0.01904761904761905,0.15047619047619049,0.0019047619047619048,0.1295238095238095,0.04380952380952381,0.07238095238095238,0.13333333333333333,0.022857142857142857,0.1619047619047619,Bwv0806 English Suite n1 05mov.mid,bach
1269,168.0,7.553571428571429,4,62.07249802994484,8.879516195460278,36,84,48,0.435973207249803,0.5400966138720308,96.0,0.0,235.0706033376122,3.1671641791044776,0.14736012608353033,0.006304176516942475,0.15760441292356187,0.0,0.14420803782505912,0.10401891252955082,0.03152088258471237,0.14420803782505912,0.008668242710795903,0.12923561859732072,0.004728132387706856,0.12214342001576044,076904b_.mid,bach
2225,272.631959,8.161185534378236,4,59.19056179775281,9.930391480968018,36,82,46,0.39021929168539327,0.3446357053288397,74.30831460674158,5.6218073058553575,149.37691555089268,3.125462620281273,0.07955056179775281,0.04359550561797753,0.1649438202247191,0.023820224719101123,0.11685393258426967,0.1303370786516854,0.019775280898876403,0.13662921348314608,0.006292134831460674,0.15865168539325844,0.09348314606741573,0.02606741573033708,Mirror Fugue n1.mid,bach
748,93.0,8.043010752688172,3,56.74866310160428,9.189533445756133,34,75,41,0.24184491978609624,0.47576845243789967,97.96791443850267,6.821955545781212,199.9999999999996,1.9516129032258065,0.13636363636363635,0.026737967914438502,0.09491978609625669,0.14171122994652408,0.013368983957219251,0.13770053475935828,0.0,0.12433155080213903,0.0962566844919786,0.0427807486631016,0.1858288770053476,0.0,Bwv0998 Prelude Fugue Allegro for Lute 3mov.mid,bach
2693,199.410065,13.504834873806395,11,61.82176011882659,12.7594273900355,26,84,58,0.5895986129935636,0.5543504769304997,56.87746008169328,13.815552807569606,212.72748545475895,5.229689067201605,0.11399925733382844,0.005569996286669142,0.20311919792053473,0.0011139992573338284,0.12328258447827702,0.0181953212031192,0.07872261418492388,0.16450055699962868,0.0063126624582250275,0.13553657630894914,0.0014853323431117712,0.14816190122539918,Jesu Joy of Man Desiring.mid,bach
1623,194.88333333333333,8.328059522791413,3,62.04744300677757,9.005692281095644,37,85,48,0.3214546108030395,0.4581834380745186,125.38077634011091,3.3314239961540832,189.67587552412888,2.7764140875133405,0.08810844115834873,0.15465187923598275,0.013555144793592114,0.15465187923598275,0.009242144177449169,0.13123844731977818,0.11028958718422674,0.024029574861367836,0.15650030807147258,0.00862600123228589,0.11891558841651263,0.030191004313000615,Prelude and Fugue in C Sharp BWV 872.mid,bach
3761,291.8642985666667,12.886125567498706,5,62.18239829832491,9.363566764281062,37,81,44,0.4262073308162721,0.3301461980141881,43.05796330763095,13.638311967029022,183.8406824157084,3.9060283687943262,0.0058495081095453335,0.1486306833289019,0.08003190640787025,0.03164052113799522,0.14809890986439778,0.020473278383408667,0.11087476734910928,0.007710715235309758,0.12470087742621642,0.17043339537357086,0.00824248869981388,0.14331294868386069,17. Bass Aria Et In Spritum .mid,bach
280,40.0,7.0,4,63.385714285714286,7.449434987477443,45,78,33,0.5446428571428571,0.3099706310149991,96.0,0.0,172.8,3.9345549738219896,0.0,0.14642857142857144,0.11785714285714285,0.0035714285714285713,0.1357142857142857,0.010714285714285714,0.19285714285714287,0.04285714285714286,0.039285714285714285,0.08214285714285714,0.05714285714285714,0.17142857142857143,016806b_.mid,bach
1273,180.17235983333333,7.06545666148557,4,71.85310290652004,6.620182087731465,53,87,34,0.4369632225222571,0.34276460428975003,77.27179890023567,15.249688227287548,250.47649995696025,2.921335597057159,0.12254516889238021,0.02513747054202671,0.11468970934799685,0.03377847604084839,0.15003927729772193,0.10604870384917518,0.02670856245090338,0.06834249803613511,0.05027494108405342,0.1633935585231736,0.02749410840534171,0.11154752553024352,2.Aus Liebe will mein Heiland sterban Soprano Aria.mid,bach
171,29.999991999999995,5.700001520000407,4,61.84795321637427,7.828590121858271,42,76,34,0.7017541988304092,0.33326264947071577,96.0,0.0,132.00003520000936,3.963210702341137,0.0,0.16374269005847952,0.04678362573099415,0.0,0.21637426900584794,0.017543859649122806,0.10526315789473684,0.0,0.11695906432748537,0.22807017543859648,0.0,0.10526315789473684,040900bv.mid,bach
